name,accuracy,macro_average
HuggingFaceTB_SmolLM3-3B,9.8,15.95
Qwen_Qwen3-1.7B_openr1_qwen3_1.7b_math_frac1_lr2em05_ep1_bs4_ga2,8.8,16.6
Qwen_Qwen3-14B_openr1_qwen3_14b_math_frac1_lr2em05_ep1_bs1_ga4,35.5,49.82
Qwen_Qwen3-4B_openr1_qwen3_4b_math_frac1_lr2em05_ep1_bs1_ga8,26.7,41.55
Qwen_Qwen3-8B_openr1_qwen3_8b_math_frac1_lr2em05_ep1_bs1_ga4,31.3,45.78
allenai_Olmo-3-32B-Think,42.7,57.55
allenai_Olmo-3-7B-Think,29.6,43.83
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,30.0,47.57
deepseek-ai_DeepSeek-R1-Distill-Llama-70B,30.3,48.05
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,16.0,25.43
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,24.4,39.37
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,33.2,49.06
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,14.7,24.32
mistralai_Ministral-3-14B-Reasoning-2512,42.3,56.7
mistralai_Ministral-3-3B-Reasoning-2512,34.9,46.3
mistralai_Ministral-3-8B-Reasoning-2512,29.6,43.27
moonshotai_Kimi-K2-Thinking,30.9,38.45
nvidia_Nemotron-Cascade-14B-Thinking,49.5,62.16
nvidia_Nemotron-Cascade-8B-Thinking,45.0,56.93
zai-org_GLM-4.7,50.2,60.95
